summary-marketing-airlines,itemAirport,itemAirport 2,summary-luggage-unit,summary-transit,money-int,zaman
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,290
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,320
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,380
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,470
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,560
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,1340
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,1017,350
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,1017,645
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,138
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,141
Tunisair,LGW,TUN,El çantası,1 Aktarma,10884,415
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,11029,345
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,11137,1000
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,11468,410
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,11477,375
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,11591,700
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,11613,1040
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,138
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,141
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,11808,385
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,11925,310
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,12036,1090
Iberia,LHR,BCN,1x23 kg,1 Aktarma,1208,610
Iberia,LGW,BCN,1x23 kg,1 Aktarma,12189,325
Tunisair,LGW,TUN,El çantası,1 Aktarma,12206,525
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,12825,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,145
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,150
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,13084,620
TAP Portugal,LHR,LIS,El çantası,1 Aktarma,1309,795
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13571,775
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13571,825
Swiss,LCY,ZRH,1x23 kg,1 Aktarma,13608,240
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,13905,820
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,14052,250
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,14052,285
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,14443,605
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15655,350
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15821,300
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15966,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15966,380
Eurowings,LHR,HAM,El çantası,1 Aktarma,16274,255
Luxair,LCY,LUX,Kabin bagajı,1 Aktarma,17488,195
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,17936,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,265
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,450
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18386,365
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,18473,255
Luxair,LCY,LUX,1x23 kg,1 Aktarma,18612,195
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,1872,450
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21811,265
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21811,325
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,23527,565
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,25204,435
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,275
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,26013,80
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,279,95
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,38952,380
Iberia,LHR,BCN,1x23 kg,1 Aktarma,67772,360
Iberia,LHR,BCN,1x23 kg,1 Aktarma,67772,510
Iberia,LHR,BCN,1x23 kg,1 Aktarma,71986,610
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,1904,85
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,2399,95
easyJet,LGW,CDG,El çantası,Direkt Uçuş,2782,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,2782,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,2835,70
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,2839,90
easyJet,LTN,CDG,El çantası,Direkt Uçuş,2996,80
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,3019,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,305,80
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,3704,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,3894,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,4222,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,4446,80
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,4562,95
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,4767,95
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,5032,145
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,5032,145
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,5108,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,5162,70
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,5167,85
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,5167,90
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,5236,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,5372,85
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,5372,90
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,545,80
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,5504,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,5687,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,5687,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,5687,144
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,5687,144
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,6216,80
Eurowings,LHR,HAM,El çantası,1 Aktarma,6217,255
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6304,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6304,149
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,260
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,290
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,320
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,335
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,375
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,380
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,465
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,470
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,1305
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,1340
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,6783,80
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,6804,715
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,6804,785
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6948,140
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6948,140
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6948,145
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6948,145
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6948,154
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6948,154
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,7083,85
KM Malta Airlines,LGW,MLA,El çantası,1 Aktarma,7183,430
ITA - Italia Trasporto Aereo,LCY,FCO,El çantası,1 Aktarma,7281,470
KM Malta Airlines,LGW,MLA,El çantası,1 Aktarma,7435,1205
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,745,80
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,255
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,535
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,605
Vueling Airlines,LHR,ORY,1x25 kg,Direkt Uçuş,7639,95
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,8233,90
KM Malta Airlines,LHR,MLA,El çantası,1 Aktarma,8331,495
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8355,965
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,8445,85
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,8487,255
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8625,690
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8625,850
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,8928,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,8928,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,8928,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8945,660
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,9154,138
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,9154,138
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,9305,515
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,9305,590
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,9305,700
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,9668,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,9668,80
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,9732,275
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,9804,345
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,10051,80
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,10063,405
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,1017,645
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,150
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,151
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,10631,375
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,1074,400
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,10816,75
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,10818,605
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,10877,265
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,1107,295
Air Serbia,LHR,BEG,Kabin bagajı,1 Aktarma,11203,1125
Swiss,LCY,ZRH,1x23 kg,1 Aktarma,114,255
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,11477,265
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11675,260
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11675,320
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11675,380
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11675,380
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11675,425
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,150
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,151
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,11808,250
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,11808,285
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,12574,75
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,12574,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Air Serbia,LHR,BEG,1x23 kg,1 Aktarma,13646,1125
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,14052,350
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15966,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15966,325
KLM Royal Dutch Airlines,LCY,AMS,1x23 kg,1 Aktarma,1602,350
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,17936,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,375
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21419,265
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21419,600
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,2175,385
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,2175,715
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,23527,710
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,23527,775
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,325
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,28001,95
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,305
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,380
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,2464,90
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,2534,95
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,2659,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,2782,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,2782,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,2835,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,2996,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,3728,142
easyJet,LTN,CDG,El çantası,Direkt Uçuş,3841,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,4446,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,4539,90
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,4562,95
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,4744,85
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,4744,90
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,4767,95
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,5236,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,5263,80
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,529,75
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,5372,85
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,5477,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,5687,145
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,5687,145
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,5687,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,5687,149
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,5899,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6304,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6304,142
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,6317,80
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,260
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,290
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,320
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,380
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,465
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,470
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,6376,1340
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,6804,255
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,6804,590
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,6804,715
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,6804,785
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,6804,1435
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,689,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6948,140
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6948,140
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6948,154
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6948,154
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,745,80
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,350
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,410
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,420
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,535
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,605
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,1070
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,1255
Vueling Airlines,LHR,ORY,1x25 kg,Direkt Uçuş,7639,95
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,7863,90
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,7887,144
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,7887,144
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,7887,145
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,7887,145
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,7887,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,7887,151
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,7907,335
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,7907,375
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,7907,560
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,8045,80
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,8075,85
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8085,850
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8085,935
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8945,635
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8945,790
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,8957,345
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,9082,605
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,9154,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,9154,146
KM Malta Airlines,LGW,MLA,El çantası,1 Aktarma,9177,430
KM Malta Airlines,LGW,MLA,El çantası,1 Aktarma,9336,1205
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,9668,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,9668,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,9668,80
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,9836,265
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,995,260
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,995,440
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,9963,600
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,10051,75
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,1017,250
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,1017,285
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,10205,615
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,10205,700
KM Malta Airlines,LHR,MLA,El çantası,1 Aktarma,10428,495
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,138
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,151
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,10571,80
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,10571,80
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,10631,265
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,10877,265
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,10877,275
KLM Royal Dutch Airlines,LCY,AMS,1x23 kg,1 Aktarma,10962,250
KLM Royal Dutch Airlines,LCY,AMS,1x23 kg,1 Aktarma,10962,285
Air Serbia,LHR,BEG,Kabin bagajı,1 Aktarma,11203,1125
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,11586,345
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11675,260
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11675,265
TAP Portugal,LHR,LIS,El çantası,1 Aktarma,11715,395
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,11915,445
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,12466,745
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,12574,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,12825,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,1304,80
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,1304,85
Air Serbia,LHR,BEG,1x23 kg,1 Aktarma,13646,1125
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13716,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,275
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21419,265
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21672,450
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,23527,710
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,23527,775
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,700
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,25875,645
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,28001,95
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,28241,365
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,28241,380
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,85
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,2839,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,2889,80
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,2954,95
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,3019,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,323,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,3499,75
easyJet,LGW,CDG,El çantası,Direkt Uçuş,3606,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,3894,75
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,4199,90
easyJet,LTN,CDG,El çantası,Direkt Uçuş,4446,80
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,4744,85
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,5111,95
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,5167,85
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,5189,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,5372,85
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,5372,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5398,80
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,5531,80
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,5807,95
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,5948,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,6055,85
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,6344,75
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,6465,90
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,6746,80
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,6871,90
